SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	option1
GSM1956974	-16.2098697763	-157.6722768849	-41.8381301504	50.3989199193	9.1673779794	47.5290491246	-24.2875916975	13.9003734334	-25.0615850603	6.0322723794	-3.5180602767	4.344507693	-1.751289648	-0.714832258	6.9118348796	1.1097595527	0.3200865276	2.9331620387	1.068953903	2.9737956917	-8.8688496696	-2.2354437181	-10.7491059701	-2.7635529075	4.1193634727	11.8230682907	2.1218030887	10.6541512633	12.063772323	-42.4675284636	21.8397706715	12.5595361061	2.5082264561	1.9125095144	-2.1124217996	7.12156672337799E-014	a
GSM1956975	-20.0787878813	-159.2423467973	-38.2643856732	51.1350406252	10.9272508038	50.258587733	-25.7015399932	17.9141236428	-21.0576197344	6.7910078922	-2.5222826199	10.3420760692	-3.4796119012	1.6195298391	-2.6564617965	-4.9884453617	-8.6822211311	2.9123794273	9.267057469	-3.4961735193	10.5122674775	-1.8351232571	9.4536547702	13.5910437715	13.6745509044	31.2098096939	8.147026834	6.2141228868	1.3495068775	34.2873677383	-14.0497351205	-1.888870337	-1.2962509928	-1.6754138952	-0.5332707652	3.1192534449484E-013	a
GSM1956976	-18.9928477342	-163.8979947912	-42.8671170081	47.2103706302	19.6389859379	49.04979269	-26.2592474522	13.4430325645	-16.7501713667	13.646557818	2.322245228	4.9885261117	7.3868971908	-5.2700137921	-0.5411238522	2.7564276925	6.4344704041	-5.6773686241	-8.8895469042	1.1792424469	-1.5602876267	5.5925115819	-1.7399718575	-9.5752001666	-20.0443787633	-43.8659423641	-8.9080379575	-16.2117937422	-12.9907370978	7.8575503885	-6.6570270645	-10.407528706	-2.2075947804	-1.6134382485	2.6444730553	2.80911090829589E-014	a
GSM1956977	-62.0871896934	-131.0001662193	-39.2489639289	31.9165562696	48.511143579	-12.9859411725	31.3557827654	-25.7845158595	19.1106449464	-4.5612395761	-21.9204002712	-0.8326642626	-9.9780815642	-2.887909607	9.5557925768	4.8346821019	5.7159451788	5.1959844993	-7.5184344192	-0.7661921125	5.1255012188	35.4830619083	33.949261372	-25.8901057949	-3.0198695676	13.0207893314	-3.8451362768	-0.5932312364	-6.1416642505	-6.0326510515	-3.5083615169	0.7221039453	1.5284195912	3.5848852737	-2.8576103442	1.54004166732537E-012	a
GSM1956978	-59.4817789616	-132.0266106505	-40.2383559013	35.8692712553	53.5267835107	-15.2040283589	35.0498255477	-32.162074937	20.737108311	0.1931956475	-7.5139373173	-2.5598812128	8.9092032665	2.3239497355	0.3009037015	-23.612885848	-7.6106482636	46.2865526912	9.8429466619	14.2311498931	-2.6050783045	-19.742861511	-13.5822930789	10.3159150474	5.5937906308	-12.7034722098	0.4719850702	0.8416273894	3.1828327353	3.0980592165	1.510449787	-2.7931794808	2.054859261	-3.8906675782	4.4291032133	7.52188757243907E-013	a
GSM1956979	-62.9789771395	-133.5943450219	-39.4534320288	32.4407192753	51.7228665529	-12.3105726771	31.7267944	-26.4980137302	26.9270074892	3.5665364547	-13.2374065331	-1.6097967705	4.5175201233	-0.159554417	-10.3343792656	19.209335334	-0.024895306	-51.3280611553	-6.8470636935	-11.5978916506	-3.2565214808	-18.8845112295	-16.8662971199	11.9860164338	5.5633709374	2.8508850812	1.2890034698	-1.3663036987	1.8386963818	1.8879722133	1.1322426953	1.0846806028	-1.6615671064	-1.3945983163	-0.1823597406	2.69387322778675E-013	a
GSM1956980	-29.4238929656	-29.6720131778	-80.6246308349	24.5757095512	-57.6373435248	-21.3077304306	-14.927754737	17.3571286359	32.5126992181	-10.0103464301	16.911393518	-1.6935731932	-6.9293002571	0.9960094242	6.2801848151	5.1814008256	4.0132420714	-0.0873449447	-5.5755462114	0.5363195554	-0.1445658134	3.8362350297	4.044242631	0.4907249309	-2.9091209395	-6.4375475406	6.9811545322	3.3726032116	6.5606150674	11.9239018292	9.4213914268	26.5966686879	8.748360063	5.2266748757	38.9809004978	-7.90256315247317E-013	b
GSM1956981	-30.4051028607	-29.6287447305	-80.2416626356	23.0030639266	-54.4814570843	-20.1840383132	-14.9817278578	16.4960241815	32.456419622	-14.6237342942	12.2474995643	-2.7316456994	-10.1624110455	-0.7728167976	6.1539035531	-0.3803030764	0.4512408581	4.8141953833	-1.7539763691	-0.4796567069	-3.4024616883	-3.6897309219	-5.6315613468	-6.6818246755	-3.4898955087	-4.6492098187	1.9551451297	-0.9075399886	-0.345074118	12.3032198606	9.5738402734	15.1279169581	-13.407900174	-0.0361242404	-44.3205644432	-4.02623355662268E-013	b
GSM1956982	-27.0302466499	-29.0518693132	-82.9782067804	23.3014325416	-55.1761031062	-16.341769176	-18.0826726918	16.8630013649	36.63800517	-10.3374818242	24.9177105957	-5.2452484508	0.8318560104	-0.0636421673	-7.4927844359	-1.702275683	3.8850033499	0.1916007984	7.4329836215	-2.1543674168	3.1190489606	-0.0661597574	-0.6083622093	5.9793748783	-0.5832761906	12.2292275936	-3.0660453895	-0.3987479452	-5.4165532361	-23.206963882	-17.9085660903	-39.9687310637	2.1296827487	-3.8171695909	4.4565738521	-5.25392446562578E-013	b
GSM1956983	-87.1426363281	-0.8427791917	-60.256156902	-8.6623124734	-6.6527711633	-38.1596633535	5.1820390312	-22.6690218223	-47.6310263361	2.6517675139	39.0092155588	-10.3628628863	15.6503935602	-4.4432646697	-26.7964570621	0.5361242168	6.0493262485	1.3570105937	-21.9431187376	7.8035016349	-27.1407728454	-0.2572259887	6.4159923493	-13.6313933214	20.088748648	5.3626678084	2.5860096921	-0.9705387571	-5.4724827042	4.469356727	-0.0785730737	1.3951393207	-1.2320859528	-8.7593703406	0.0831742506	-7.42704691963827E-013	b
