state	component1	component2	option1	option2	option3
Alabama	64.8021636817	-11.4480073978	Democrat	a	y
Alaska	92.8274501567	-17.9829427007	Democrat	a	x
Arizona	124.0682162896	8.8304030427	Democrat	a	z
Arkansas	18.3400354054	-16.703911381	Democrat	a	y
California	107.4229531255	22.5200697704	Democrat	a	x
Colorado	34.9759859594	13.719584033	Democrat	a	z
Connecticut	-60.8872819319	12.9325301564	Democrat	b	y
Delaware	66.7310254465	1.3537977972	Democrat	b	x
Florida	165.2443703192	6.2746900696	Democrat	b	z
Georgia	40.5351765877	-7.2902395922	Democrat	b	y
Hawaii	-123.5361057698	24.2912079109	Democrat	b	x
Idaho	-51.797002251	-9.4691909947	Democrat	b	z
Illinois	78.9920972972	12.8970604614	Democrat	b	y
Indiana	-57.5509607348	2.8462647124	Democrat	b	x
Iowa	-115.5867897039	-3.3421305023	Democrat	b	z
Kansas	-55.7896941123	3.1572339247	Democrat	b	y
Kentucky	-62.3831806112	-10.673271468	Democrat	b	x
Louisiana	78.2776313152	-4.294917498	Democrat	b	z
Maine	-89.2610442662	-11.4878272008	Democrat	b	y
Maryland	129.3301355028	-5.007031476	Democrat	b	x
Massachusetts	-21.2662826315	19.4501790329	Democrat	b	z
Michigan	85.4515266722	5.904556697	Democrat	b	y
Minnesota	-98.9548155235	5.2096005823	Democrat	b	x
Mississippi	86.8563576863	-27.4284196329	Democrat	b	z
Missouri	7.9862886699	5.2756413983	Democrat	b	y
Montana	-62.4836353014	-9.5105020533	Democrat	b	x
Nebraska	-69.0965443513	-0.2111959168	Democrat	b	z
Nevada	83.6135784392	15.1021838987	Democrat	b	y
New Hampshire	-114.7773545017	-4.734558364	Democrat	b	x
New Jersey	-10.8157251194	23.1373388713	Republican	b	z
New Mexico	114.8681626043	-0.3364530983	Republican	b	y
New York	84.2942305183	15.923965542	Republican	b	x
North Carolina	164.3255144892	-31.0966152578	Republican	b	z
North Dakota	-127.4955965503	-16.1350393817	Republican	b	y
Ohio	-50.0868216713	12.2793243774	Republican	b	x
Oklahoma	-19.6937228952	3.3701310208	Republican	b	z
Oregon	-11.1502395795	3.8660681517	Republican	b	y
Pennsylvania	-64.689141924	8.911546552	Republican	b	x
Rhode Island	3.0639725711	18.373970421	Republican	b	z
South Carolina	107.2810686574	-23.5361158959	Republican	b	y
South Dakota	-86.1067200506	-16.5978586473	Republican	b	x
Tennessee	17.5062642727	-6.506575602	Republican	b	z
Texas	31.2911217387	12.9849566491	Republican	b	y
Utah	-49.9133974044	17.6484576673	Republican	c	x
Vermont	-124.7144691583	-27.3135590838	Republican	b	y
Virginia	-14.817448159	-1.7526150184	Republican	c	z
Washington	-25.0758389831	9.9679669058	Republican	c	x
West Virginia	-91.5446469773	-22.9528777669	Republican	c	y
Wisconsin	-118.1763278551	5.5075792047	Republican	c	z
Wyoming	-10.4345393883	-5.9244529207	Republican	c	x
